zoneName,Status,FullName,LastUpdate,Risk,Impact,Owner
PG,Not Available,PG,2/10/25,Medium,Low,Not assigned
PH-LU,Not Available,PH-LU,2/10/25,Medium,Low,Not assigned
PH-MI,Not Available,PH-MI,2/10/25,Medium,Low,Not assigned
PH-VI,Not Available,PH-VI,2/10/25,Medium,Low,Not assigned
PH,Not Available,PH,2/10/25,Medium,Low,Not assigned
PK,Not Available,PK,2/10/25,Medium,Low,Not assigned
PL,Not Available,Poland,2/10/25,Medium,Low,Not assigned
PM,Not Available,PM,2/10/25,Medium,Low,Not assigned
PR,Not Available,PR,2/10/25,Medium,Low,Not assigned
PS,Not Available,PS,2/10/25,Medium,Low,Not assigned
PT-AC,Not Available,PT-AC,2/10/25,Medium,Low,Not assigned
PT-MA,Not Available,PT-MA,2/10/25,Medium,Low,Not assigned
PT,Not Available,Portugal,2/10/25,Medium,Low,Not assigned
PW,Not Available,PW,2/10/25,Medium,Low,Not assigned
PY,Not Available,PY,2/10/25,Medium,Low,Not assigned
QA,Not Available,QA,2/10/25,Medium,Low,Not assigned
RE,Not Available,RE,2/10/25,Medium,Low,Not assigned
RO,Not Available,Romania,2/10/25,Medium,Low,Not assigned
RS,Not Available,RS,2/10/25,Medium,Low,Not assigned
RU-1,Not Available,RU-1,2/10/25,Medium,Low,Not assigned
RU-2,Not Available,RU-2,2/10/25,Medium,Low,Not assigned
RU-AS,Not Available,RU-AS,2/10/25,Medium,Low,Not assigned
RU-EU,Not Available,RU-EU,2/10/25,Medium,Low,Not assigned
RU-FE,Not Available,RU-FE,2/10/25,Medium,Low,Not assigned
RU-KGD,Not Available,RU-KGD,2/10/25,Medium,Low,Not assigned
RU,Not Available,RU,2/10/25,Medium,Low,Not assigned
RW,Not Available,RW,2/10/25,Medium,Low,Not assigned
SA,Not Available,SA,2/10/25,Medium,Low,Not assigned
SB,Not Available,SB,2/10/25,Medium,Low,Not assigned
SC,Not Available,SC,2/10/25,Medium,Low,Not assigned
SD,Not Available,SD,2/10/25,Medium,Low,Not assigned
SE-SE1,Not Available,Sweden - Luleå,2/10/25,Medium,Low,Neelaksh
SE-SE2,Not Available,Sweden - Sundsvall,2/10/25,Medium,Low,Neelaksh
SE-SE3,Not Available,Sweden - Stockholm,2/10/25,Medium,Low,Neelaksh
SE-SE4,Not Available,Sweden - Malmö,2/10/25,Medium,Low,Neelaksh
SE,Not Available,Sweden,2/10/25,Medium,Low,Neelaksh
SG,EstimatedDaily,SG,2/10/25,Medium,Low,Riktesh
SI,Not Available,Slovenia,2/10/25,Medium,Low,Neelaksh
SJ,Not Available,SJ,2/10/25,Medium,Low,Not assigned
SK,Not Available,Slovakia,2/10/25,Medium,Low,Neelaksh
SL,Not Available,SL,2/10/25,Medium,Low,Not assigned
SN,Not Available,SN,2/10/25,Medium,Low,Not assigned
